Symbol,Full Name,GICS Sector,GICS Sub-Industry,Environment Score,Social Score,Governance Score,Total Esg,Highest Controversy,Percentile,Market Cap,Beta,Overall Risk
IRM,Iron Mountain,Real Estate,Other Specialized REITs,5.0,3.74,6.0,14.74,2,9.64,18342897664.0,0.944329,4
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,3.0,6.01,4.86,13.86,1,7.98,20086134784.0,1.164591,9
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,0.78,9.45,5.22,15.45,0,11.47,11267744768.0,0.639004,5
J,Jacobs Solutions,Industrials,Construction & Engineering,5.29,11.46,5.62,22.37,3,33.64,16648878080.0,0.823305,6
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.74,15.79,8.55,25.08,4,44.38,388773216256.0,0.543914,5
JCI,Johnson Controls,Industrials,Building Products,4.89,4.55,5.25,14.7,3,9.52,38866681856.0,1.263485,5
JPM,JPMorgan Chase,Financials,Diversified Banks,1.11,16.18,11.73,29.02,3,59.52,433733533696.0,1.095781,6
JNPR,Juniper Networks,Information Technology,Communications Equipment,1.66,8.52,6.41,16.59,1,14.57,9136265216.0,0.910788,6
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,7.4,14.87,4.58,26.84,2,51.24,20527126528.0,0.424965,7
KVUE,Kenvue,Consumer Staples,Personal Care Products,3.7,8.73,6.2,6.21,2,29.85,40633962496.0,1.059647,5
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,3.7,8.73,6.2,6.21,2,29.85,46528757760.0,0.582295,10
KEY,KeyCorp,Financials,Regional Banks,1.89,11.08,10.17,23.14,1,37.43,10968970240.0,1.271092,1
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,2.03,2.24,5.04,9.31,1,2.02,23592615936.0,1.068118,6
KMB,Kimberly-Clark,Consumer Staples,Household Products,8.05,7.77,6.23,22.05,2,32.38,42276507648.0,0.406293,3
KIM,Kimco Realty,Real Estate,Retail REITs,3.7,2.91,5.53,12.14,0,4.83,11703239680.0,1.457468,4
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,7.75,7.32,3.48,18.55,2,20.69,38034862080.0,0.933264,9
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,7.13,4.76,4.91,16.79,0,15.18,62100959232.0,1.352005,4
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,14.38,14.29,6.63,35.3,3,79.6,41086304256.0,0.680843,4
KR,Kroger,Consumer Staples,Food Retail,6.51,9.43,5.46,21.39,3,30.14,33304080384.0,0.476141,8
LHX,L3Harris,Industrials,Aerospace & Defense,3.7,8.73,6.2,6.21,2,29.85,32667049984.0,0.720608,3
LH,LabCorp,Health Care,Health Care Services,0.13,11.55,7.13,18.81,2,21.65,17866188800.0,1.061894,1
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,4.5,3.97,4.98,13.45,1,7.12,82569551872.0,1.493775,1
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,3.7,8.73,6.2,6.21,2,29.85,14520022016.0,0.538035,5
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,1.28,7.76,8.65,17.69,2,17.83,37259145216.0,1.202973,10
LDOS,Leidos,Industrials,Diversified Support Services,1.29,4.99,5.39,11.67,2,4.22,12916489216.0,0.778699,5
LEN,Lennar,Consumer Discretionary,Homebuilding,8.89,8.77,5.47,23.11,2,37.34,32576346112.0,1.477524,10
LNC,Lincoln Financial,Financials,Multi-line Insurance,1.89,6.09,9.89,17.87,2,18.72,4415677440.0,1.806362,8
LIN,Linde plc,Materials,Industrial Gases,3.7,8.73,6.2,6.21,2,29.85,189318152192.0,0.862033,6
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,3.7,8.73,6.2,6.21,2,29.85,19291256832.0,1.301867,10
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,3.27,4.0,3.27,10.54,2,2.89,13361745920.0,1.350622,5
LMT,Lockheed Martin,Industrials,Aerospace & Defense,5.27,15.9,7.2,28.36,3,56.97,106788937728.0,0.650069,5
L,Loews Corporation,Financials,Multi-line Insurance,0.59,4.25,11.63,16.48,2,14.27,14488952832.0,1.059647,5
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,3.7,4.63,3.15,11.49,2,3.89,126976843776.0,1.075726,3
LYB,LyondellBasell,Materials,Specialty Chemicals,16.64,2.13,5.82,24.59,2,42.48,32432666624.0,1.228561,2
MTB,M&T Bank,Financials,Regional Banks,2.2,12.77,11.19,26.16,1,48.72,21457205248.0,0.808091,8
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,23.91,10.14,7.96,42.01,2,92.01,16280865792.0,2.375864,3
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,15.91,7.01,5.79,28.7,3,58.15,61500006400.0,1.616874,7
MKTX,MarketAxess,Financials,Financial Exchanges & Data,3.7,8.73,6.2,6.21,2,29.85,8463474688.0,0.78769,2
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",8.75,9.05,4.09,21.89,3,31.85,60590440448.0,1.594052,7
MMC,Marsh McLennan,Financials,Insurance Brokers,0.06,7.9,11.49,19.45,2,23.69,96908836864.0,0.927731,6
MLM,Martin Marietta Materials,Materials,Construction Materials,18.55,4.53,8.74,31.82,2,71.38,26274820096.0,0.900069,10
MAS,Masco,Industrials,Building Products,9.44,5.8,7.21,22.44,1,34.42,12296704000.0,1.23686,8
MA,Mastercard,Financials,Transaction & Payment Processing Services,0.32,8.1,8.57,16.98,4,15.51,390367838208.0,1.092669,1
MTCH,Match Group,Communication Services,Interactive Media & Services,3.7,8.73,6.2,6.21,2,29.85,12277541888.0,1.574583,9
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,10.07,11.3,5.21,26.58,2,51.54,21414359040.0,0.581604,10
MCD,McDonald's,Consumer Discretionary,Restaurants,4.18,14.3,6.32,24.79,3,43.3,202763747328.0,0.642807,4
MCK,McKesson,Health Care,Health Care Distributors,2.29,7.37,5.52,15.17,3,10.55,56676376576.0,0.600622,3
